title,address,post_time,work_experience,education,salary,company,workTag,welfare,work_content
大数据开发助理（提供住宿）,"成都 - 成华区- 华泰社区5F-M204号
",3天前发布,不限 ,大专,4k-6k,"

成都维创利星科技有限公司

","

专业服务｜咨询,营销服务｜咨询 / 不需要融资 / 少于15人

","五险一金,员工旅游,专业培训","岗位职责:
协助和参与大数据项目开发，配合项目经理工作。
应聘要求：
1、掌握Python、java、sql、Hadoop生态圈等其中一种基本知识应用；
2、了解数据的辨析、抽取、清洗、填补、平滑、合并、规格化及检查一致性等预处理技术方面的基本知识；
3、清楚对项目开发的流程和基本要求；
4、有良好的敬业精神、学习能力和团队协作能力。
5、能够适应一般的加班和出差；
提供住宿 水电自理（需有***）"
大数据开发工程师,"成都 - 高新区- 吉泰五路88号香年广场T2楼30层9号（天府三街地铁站）
",2024/4/21,不限 ,本科,8k-16k,"

微银合创

","

数据服务｜咨询 / 不需要融资 / 15-50人

",五险一金，周末双休，团队体检,"技能要求： 
 
IMPALA，Spark，Python，DB2，Oracle，MySQL 
 
职位描述： 
 
1、基于公司大数据平台，设计大数据相关项目的技术方案； 
 
2、负责数据调研、数据接入、数据建模、数据清洗、数据映射、数据可视化等工作； 
 
3、负责对数据进行分析，为项目组提供大数据技术指导及分析手段支撑，BI报表输出； 
 
4、负责大数据平台的性能监控和持续优化； 
 
5、针对需求提供大数据分析技术解决方案； 
 
 
 
任职要求： 
 
1、本科及以上学历，1-3年以上工作经验，活跃、严谨的思维，理解能力强，交流沟通无障碍； 
 
2、熟练使用数仓、大数据工具，熟练使用SQL，熟悉Python或Java； 
 
3、熟悉oracle，db2，hive, spark, impala, kylin, ETL等技术，能独立承担报表设计和开发工作； 
 
4、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验； 
 
5、熟悉银行业务, 丰富的BI指标体系建设经验"
大数据开发工程师,"成都 - 双流县- 电子科大科技园D3
",2023/8/17,不限 ,本科,10k-16k,"

中钞科信

","

软件服务｜咨询 / 不需要融资 / 150-500人

",国企；法定节假日；带薪年假；节日福利,"1. 了解基本的数据结构和预处理等相关算法； 
2. 熟悉python和java； 
3. 能用java进行后端封装 
4.熟悉大数据分析相关的框架以及基本算法，特别是机器学习算法，或者深度学习算法等 
5.有基于微服务部署大数据机器学习负载的经验。 
6. 熟悉 Spark、Flink 等技术，熟悉 FlinkML。 
7. 熟悉 ETL、SQL，熟悉 MySQL，PostgreSQL 等主流数据库 
8. 了解时序数据库，了解 K8s 开发"
大数据网络工程师,"成都 - 郫都区 - 郫筒- 梦翔大厦
",2022/10/10,在校,应届,8k-15k,"

壹为新能源汽车

","

新能源汽车制造 / 不需要融资 / 50-150人

",新兴行业，平台大，团队氛围佳，晋升快,"岗位职责： 
1. 负责新能源汽车大数据的清洗、压缩、存储，数据仓库、数据集群建设维护等 
2. 负责新能源监控平台、云服务器、数据库的日常运维，异常问题的对接处理 
3. 基于FanBI开展大数据分析、数据可视化表达 
4. 负责售后助手软件的优化完善，主要涉及基于WEB端的前后端的功能开发 
技能要求： 
1、具有良好的java开发基础，对网络、IO、多线程、设计模式、jvm的原理和调优等有一定的了解和实践经验； 
1、有过微信小程序、手机APP的前后端开发项目尤佳 
2、对数据分析感兴趣，有过相关项目经历尤佳"
数据分析、大数据、人工智能培训讲师,"成都 - 高新区- 天府二街绿地之窗2号楼12层
",2024/12/8,不限 ,本科,10k-20k,"

CDA数据分析(成都)研究院

","

教育,数据服务 / 不需要融资 / 15-50人

",收入高 自有,"数据分析、大数据、人工智能、区块链培训讲师 
 
 
工作地点：成都/全国 
 
工作性质：全职/兼职 
 
薪资：面谈 
 
 
要求： 
 
1. 熟悉数理统计、商业智能、数据分析、数据挖掘、可视化、大数据等理论内容之一。 
 
2. 熟练运用SPSS、SAS、R、EXCEL、Python等软件之一。 
 
3. 有一定的项目实战经验 
 
4. 熟悉hadoop生态，具备数据挖掘项目能力， 
 
5.对任何数据领域有一定特长皆可考虑 
 
 
各层次培训需求都会有，有共同创业精神考虑的朋友可以提出交流。 
 
欢迎有志于CDA数据科学事业的朋友加入。 
 
 
"
python数据开发实习生,"成都 - 武侯区- 天府国际金融中心11号楼南塔
",2023/2/14,在校,应届,4k-8k,"

上海天王星

","

数据服务｜咨询 / 未融资 / 50-150人

",年轻团队；发展前景；技术大牛带教,"天王星量化旗下数据科学团队，正在寻找一名Python数据开发实习生加入我们的数据科学研究系统开发项目，您将在优秀的开发人员的指导下，学习并参与数据清洗和因子优化的工作。 
 
岗位职责 
● 有机会学习量化交易相关的数据科学知识，包括不限于自动化数据清洗、采样、特征构造等 
● 有机会参与开发量化交易研究的回测系统组件 
● 有机会协助量化研究人员开发alpha因子、拟合工具、组合优化工具等 
● 有机会参与学习和开发机器学习算法相关组件 
● 完成上级交代的其他任务 
 
任职要求 
● 国内985高校计算机科学类本科及研究生在读 
● 熟练掌握Python，熟悉Linux环境 
● 热爱编程，有一定的代码项目经验 
● 自驱力强，对工作认真负责，渴望成长和提高 
● 优秀的分析和解决问题能力 
● 性格阳光，乐观，有优秀的沟通能力和良好的社交习惯 
 
额外加分项 
● 省级以上物理数学类竞赛获奖经历者 
● 熟练使用数据分析工具，例如 numpy、pandas 和 matplotlib"
Python数据开发实习生【200-400元/日】,"成都 - 武侯区- 天府国际金融中心11号楼南塔
",2022/11/22,在校,应届,6k-9k,"

上海天王星

","

数据服务｜咨询 / 未融资 / 50-150人

",大佬带教；可转正实习；年轻活跃,"天王星量化旗下数据科学团队，正在寻找一名Python数据开发实习生加入我们的数据科学研究系统开发项目，您将在优秀的开发人员的指导下，学习并参与数据清洗和因子优化的工作。 
 
 
岗位职责 
● 有机会学习量化交易相关的数据科学知识，包括不限于自动化数据清洗、采样、特征构造等 
● 有机会参与开发量化交易研究的回测系统组件 
● 有机会协助量化研究人员开发alpha因子、拟合工具、组合优化工具等 
● 有机会参与学习和开发机器学习算法相关组件 
● 完成上级交代的其他任务 
 
 
任职要求 
● 国内985高校计算机科学类本科及研究生在读 
● 熟练掌握Python，熟悉Linux环境 
● 热爱编程，有一定的代码项目经验 
● 自驱力强，对工作认真负责，渴望成长和提高 
● 优秀的分析和解决问题能力 
● 性格阳光，乐观，有优秀的沟通能力和良好的社交习惯 
 
 
额外加分项 
● 省级以上物理数学类竞赛获奖经历者 
● 熟练使用数据分析工具，例如 numpy、pandas 和 matplotlib"
大数据后端工程师-抖音生活服务,"成都 - 武侯区- 中国大陆四川省成都市武侯区(do not use) 天府四街158号OCG国际中心C座梦想加17层，邮编：610094
",15:35发布,不限 ,不限,25k-50k,"

字节跳动

","

内容资讯,短视频 / D轮及以上 / 2000人以上

","下午茶,五险一金,团队氛围好,带薪休假","职位职责： 
1、参与生活服务业务商家数据平台产品的落地，包括数据参谋、数据工厂等系列数据平台产品； 
2、参与数据产品架构设计和后端开发，设计和实现Web后端和关键数据服务； 
3、参与数据产品的功能迭代和性能优化，提高效率，优化流程。 
职位要求： 
1、有本地生活行业经验的优先，对酒旅、外卖、综合、餐饮行业的业务模式和商业逻辑清晰的优先； 
2、熟悉互联网产品和服务的开发过程，熟悉后端技术架构，具备良好的系统设计能力； 
3、扎实的计算机基础，对技术有热情，愿意不断尝试新技术和业务挑战； 
4、善于沟通，对业务敏感，能快速理解业务背景，具备优秀的技术与业务结合能力； 
5、熟练使用clickhouse、presto、doris等mpp查询引擎，具备数据组件化开发的能力； 
6、具备较好的数据分析sense，有良好的协作能力。"
大数据开发工程师,"成都 - 武侯区- 剑南大道中段716号瑞鑫时代大厦
",2023/7/26,3-5年 ,本科,8k-12k,"

延华医疗研究院

","

IT技术服务｜咨询,数据服务｜咨询 / 上市公司 / 150-500人

",医疗大数据，国家重点方向,"岗位职责：

1.参与数据中心建设数据存储方案制定。

2.参与数据中心数据存储能力评估。

3.负责数据中心环境维护与优化。

4.支撑数据开发人员快速完成开发工作。

个人能力：

1.有大数据存储、分析相关项目工作经验，承担核心工作。

2.?掌握与大数据处理相关的技术，包括但不限于Hadoop，Hbase，Hive等。

3.?掌握常用的的mpp数据库，包含但不限于Doris?与?ClickHouse等。

4.?掌握常用的关系形数据库，包含但不限于?sql?server，oracle，mysql等。"
后端研发工程师（大数据开发）,"成都 - 郫都区- 成都市高新西区新业路88号
",2025/3/17,3-5年 ,本科,12k-24k,"

成都天奥集团有限公司

","

","五险一金,专业培训,节假日福利","岗位职责：
1.负责数据分析、加工、清洗、处理程序的开发、故障修复处理；
2.协助进行大数据相关的需求分析及架构方案设计；
3.负责大数据相关平台的搭建、开发、维护、优化；
4.负责部分后端java后端开发；
5.负责项目中文档的编写工作；
6.能够根据项目需要，接受出差，在现场完成部分开发工作。
任职要求：
1.本科及以上学历，计算机或者数学等相关专业，具备3年以上工作经验；
2.熟悉MySQL/Oracle，熟练使用SQL语言，具备SQL调优能力；
3.掌握Java基础，熟练使用springboot，springcloud，spring，spring mvc，mybatis等常用框架；
4.掌握常用ETL开发工具，熟悉常用的非关系数据库（Hbase/MangoDB/Kudu等）；
5.掌握离线大数据开发工具的使用(hdfs、hive、spark、impala等)，具有完整项目作战经验；
6.熟悉实时大数据开发工具的使用（flink、spark streaming、kafka等），有实时数据开发经验更佳；
7.熟悉Linux开发环境，熟悉常用的Linux命令；
8.了解Docker、k8s，能使用Docker进行容器化部署服务更佳；
9.有智能问答、知识图谱工作经验者优先。"
大数据开发工程师,"成都 - 高新区- 吉泰五路88号香年广场T2楼1206号（天府三街地铁站）
",2024/12/1,3-5年 ,大专,10k-16k,"

微银合创

","

数据服务｜咨询 / 不需要融资 / 15-50人

",五险一金，年终奖，体检，节日福利，周末双休,"技能要求： 
 
Hadoop生态相关组件，Linux，IMPALA，Python，Oracle，MySQL，Linux 
 
职位描述： 
1、基于公司大数据平台，设计大数据相关项目的技术方案； 
2、负责数据调研、数据接入、数据建模、数据清洗、数据映射、数据可视化等工作； 
3、负责对数据进行分析，为项目组提供大数据技术指导及分析手段支撑，BI报表输出； 
4、负责大数据平台的安装、部署； 
5、负责大数据平台的性能监控和持续优化； 
6、针对需求提供大数据分析技术解决方案。 
 
 
任职要求： 
1、本科及以上学历，3-5年工作经验，活跃、严谨的思维，理解能力强，交流沟通无障碍； 
2、熟练Hadoop生态相关大数据工具，熟练使用SQL，熟悉Python或Java； 
3、熟悉oracle，db2，hive, spark, impala, ETL等技术，能独立承担报表设计和开发工作； 
4、熟悉阿里dataphin/dataworks、袋鼠数栈产品的优先； 
5、熟悉Linux操作系统； 
6、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验； 
7、熟悉银行业务, 丰富的BI指标体系建设经验优先。"
大数据开发工程师,"成都 - 武侯区 - 双楠- 龙腾东路36号中海大厦7楼709
",2023/3/3,3-5年 ,大专,10k-20k,"

天源迪科

","

IT技术服务｜咨询 / 上市公司 / 2000人以上

",年底双薪、年终奖、过节费、五险一金、周末双休,"岗位职责： 
负责大数据相关任务的设计与开发 
岗位要求： 
1、大专及以上学历，3-5相关工作经验； 
2、深刻理解大数据处理（流计算，分布式计算，分布式文件系统，分布式存储等）相关技术和实现方法； 
3、熟悉Hadoop大数据生态圈技术，精通分布式存储Hdfs,Hive,Hbase,Es等，资源调度Yarn、Oozie、Azkaban等，计算框架 Spark,Prosto,Hive,Impala等； 
3、熟悉sqoop,flume,kafka等，熟悉Nifi源码优先； 
4、熟悉并掌握离线和实时数据处理流程，熟练使用mapreduce，Spark，Flink处理； 
5、熟练掌握springmvc、springboot开发； 
6、熟练掌握Java、Scala开发，有Python语言开发经验优先； 
7、熟悉Linux系统；"
大数据开发工程师,"成都 - 锦江区- 二环路东五段239号“华润广场”A座1909号
",2023/10/10,5-10年 ,本科,12k-16k,"

创博云软

","

IT技术服务｜咨询 / 未融资 / 15-50人

",双休、带薪年假、奖金、政府项目、工作稳定,"一、岗位职责： 
1、负责公司大数据平台系统与应用研发，基于大数据技术特点对数据的处理、抽取、挖掘、分析以及功能代码的实现； 
2、深入理解业务逻辑，结合当前架构或业务场景提供可行性优化方案，参与数据模型体系构建、数据模型算法实现、数据主题设计 和开发，搭建实时和离线的数据公共层； 
3、主导建立和维护大数据平台技术标准规范，指导开发人员编写代码，编写相关技术文档； 
4、关注大数据领域前沿技术、方法，将合适的技术方案适时引入业务场景。 
二、任职资格： 
1、计算机科学与技术、大数据、应用数学等相关专业，本科及以上学历，5年及以上工作经验； 
2、熟练掌握大数据平台（包括但不限于Hadoop、HDFS、Map Reduce等）基本原理及架构，了解大数据通用平台物理设备、网络转发、端口协议等方面的知识； 
3、对大数据生态圈有深入认识，对大数据基础架构和平台底层原理有深度理解和丰富开发经验，具备Hadoop、Hive、HBase、kudu、Impala、Kafka、MapReduce、Spark、Kylin、Oozie、Sqoop、ElasticSearh等技术的熟练使用。 
4、熟练掌握常见SQL、NoSQL数据库原理、数据库设计、查询编写和优化； 
5、熟练掌握JAVA语言，熟悉Spring Cloud微服务架构，对JVM有了解者优先，熟悉Python更佳； 
6、对数据敏感，能够通过业务模式和数据字典洞察数据规律，总结归纳数据规范； 
7、具备优秀的沟通和组织协调能力，有团队意识，任务执行力强； 
8、具备大数据平台运维和开发经验，能够独立升级大数据平台核心组件及相关功能者优先。 
*不是外包公司，项目稳定、工作稳定。 
"
大数据开发工程师,"成都 - 成华区 - 圣灯- 万科天荟40f
",2023/7/22,3-5年 ,本科,20k-30k,"

前海一方

","

科技金融 / 未融资 / 500-2000人

",发展前景,"岗位职责： 
1.负责利用各大数据技术，进行数据中台的大数据应用开发、迭代等工作； 
2.协助大数据产品经理进行供应链金融流程体系中大数据相关需求的挖掘； 
3.协助大数据产品经理进行需求可行性技术分析； 
4.负责数据平台的架构设计、搭建、开发工作； 
5.负责分析大数据平台系统瓶颈与架构合理性，促进服务架构优化。 
 
职位要求： 
1.本科及以上学历，计算机等相关专业优先； 
2.3年以上大数据相关开发项目经验； 
3.熟练使用大数据相关开源工具/框架，如Hive/Flink/Spark/MQ/OLAP/数据湖/ES/KV； 
4.掌握一门或多门编程语言，如Java、Python、Go等，有扎实的操作系统知识、系统性能意识，良好的代码能力； 
5.有一定的分布式存储，或者大数据计算，或者分布式数据库等领域的研究和工作经历； 
6.工作认真负责，对目标有自驱力，注重技术细节，能独立领导大型系统开发，有良好的团队合作精神，有大数据团队负责人角色经验者优先。"
大数据开发工程师,"成都 - 武侯区 - 小天竺- 人民南路三段1号平安财富中心10楼
",2023/4/2,3-5年 ,大专,14k-19k,"

博悦科创

","

IT技术服务｜咨询 / 不需要融资 / 500-2000人

",五险一金 下午茶 带薪年假 团建,"1、专科以上学历，三年以上Java/大数据开发工作经验； 
2、有一定的JAVA功底，熟练掌握SpringMVC、SpringBoot、SpringCloud、Mybatis等开发框架，能够独立完成相关业务功能和接口的开发； 
3、熟悉大数据平台相关组件的使用，如hadoop、hbase、elasticsearch、hive、spark、flink、ck、azkaban等； 
5、熟练掌握常用的关系型及非关系型数据库，如：Oracle、Mysql、Redis、MongoDB； 
6、熟练使用sql进行数据分析，对于复杂sql复杂的存储过程，能够逐步拆解能力； 
7、良好的设计和编码品味，热爱技术，有较强的学习能力，有强烈的求知欲、好奇心和进取心； 
8、具备良好的抗压能力、团队合作精神、有高度的工作责任心，有良好的沟通理解能力； 
9、有服务端分布式开发经验/金融行业工作经验优先。 
职责： 
1、负责系统功能模块设计，参与系统相关项目需求代码评审、设计、编码等工作； 2、与开发负责人、产品经理等项目干系人交流沟通，完成项目需求详细设计、开发等工作； 3、对所负责的系统模块信息安全、代码质量、代码缺陷修复、新功能开发、开发任务进度工作负责； 4、制定合理的工作计划，并在执行的过程中不断监控和管理风险，消除风险，避免对项目造成不良影响； 5、跟进解决各类潜在系统的技术风险、潜在隐患，协助支持测试，能够快速定位和解决相关测试问题； 6、参与完成部分数据分析工作。"
java开发工程师,"武汉 - 江夏区- 武汉市江夏区通达广场
",15:25发布,不限 ,大专,9k-13k,"

上海剑愚机电设备有限公司

","

制造业 / 不需要融资 / 少于15人

","五险一金,全勤奖,绩效奖金","职位描述：
1、设计系统模块和功能，并独立完成开发任务；
2、能够对现有系统的不足进行分析，找出问题，推动解决；
3、深入理解业务，技术驱动产品发展，能够对项目做技术规划；
4、关注客户提出的问题和建议，积极推动解决问题；
任职资格：
1、大专及以上学历，计算机、软件工程，通信等相关专业优先考虑；
2、有相关Java以及Web相关的开发经验。
3、精通Java开发栈,熟练使用SSM应用框架及mysql数据库，熟悉分布式系统设计原理和开发；
4、熟悉vue、bootstrap等前端技术优先；
5、具备良好的分析，定位以及解决问题的能力；
6、具备良好的沟通能力，团队协作能力，责任心以及耐心。"
Java开发工程师,"武汉 - 武昌区- 湖北省科技创业大厦-A座
",3天前发布,不限 ,大专,8k-12k,"

湖北承众人力资源有限公司

","

专业服务｜咨询,营销服务｜咨询 / 不需要融资 / 150-500人

","五险一金,定期体检,绩效奖金","岗位职责： 
1 负责软件项目的详细设计、编码和内部测试的实施，对小型软件项目兼任系统分析、设计工作; 
2 与项目经理、系统架构师和其他软件工程师紧密合作，设计和实现系统或软件产品; 
3 参与软件模块、数据库的设计，解决产品开发中遇到的各种问题 ; 
4 参与软件维护、运营过程中技术问题的解决; 
5 负责相关技术文档的编写(如设计文档、测试文档等)。 
岗位要求： 
1 计算机相关专业大专以上学历; 
2.精通SQL，熟练使用HSQL实现数据处理逻辑，并具备数据处理调优的能力; 
3 熟悉Linux开发环境，熟悉Linux的shell命令； 
4 具有良好的逻辑思维能力和严谨的程序开发思想，具备独立问题排查与处理的能力; 
5 欢迎应届生投递，可提供实习。"
Java开发,"武汉 - 江夏区- 星火数字科创中心
",3天前发布,不限 ,本科,10k-15k,"

陕西凉温信息科技有限公司

","

","五险一金,全勤奖,绩效奖金","岗位职责
1、负责 JAVA 技术方向的产品和项目研发工作；
2、参与架构设计和实现，根据开发流程进行设计，开发，测试，交付以满足需
求；
3、参与项目重点、难点的技术攻坚；
4、参与相关系统文档的撰写和维护；
5、负责对初级工程师进行技术指导和解惑；
6、制定项目研发计划，把控项目研发进度，控制项目质量、进度。 
岗位要求
1、本科及以上学历，计算机类，电子通信类，网络工程，软件工程等相关专业；
2、熟悉 Java 开发框架，如 SpringMVC、Hibernate 等，熟悉数据库Mysql 的使用，并具有一定优化经验，具有 mongodb 使用经验者优先；
3、有 Tomcat、JBoss,Weblogic、WAS 等开发经验，熟悉 LINUX 操作平台；
4、有系统设计相关工作者或者有志向带领团队开发工作者优先考虑；"
java开发工程师,"武汉 - 江夏区- 川岚商业大厦
",2023/5/4,不限 ,大专,6k-12k,"

江西锦华仁

","

在线医疗,软件服务｜咨询,医疗｜保健｜美容 / 不需要融资 / 少于15人

",14薪、节假日福利,"岗位职责： 
1、参加基于Java技术的项目开发； 
2、参与系统分析与设计，并负责完成项目模块核心代码开发； 
3、根据开发规范与流程在产品框架基础上独立完成模块的设计、编码、测试以及相关文档； 
4、能独立解决开发中遇到的难点问题； 
5、负责开发过程中相关新技术的研究和验证。 
-------------------------------------------------------------------- 
任职要求： 
1、计算机软件相关行业，有医疗信息化开发经验优先考虑； 
2、Java基础扎实，对java语言规范有深刻理解 ； 
3、熟悉软件技术文档的编写，具备良好的文档编制习惯和代码书写规范； 
4、熟悉javascript、html/xhtml、xml、CSS、AJAX等技术； 
5、熟悉Spring boot,Spring Cloud, SpringMvc,MyBatis等主流的开发框架，熟悉mybatis等ORM中间件； 
6、熟悉MySQL、 Oracle、sqlServer等其中一种数据库，有sql优化经验者优先； 
7、掌握常用的开发工具，如idea，eclipse，maven，git，svn等； 
8、熟练Linux操作系统基本操作命令，熟悉dubbo,redis、MQ、 等常用中间件; 
9、具有较强的学习、分析问题解决问题的能力，具有良好的团队合作精神及灵活的沟通的能力。"
java开发工程师,"武汉 - 洪山区- 文化大道555号融创智谷
",2024/11/19,在校,应届,4k-8k,"

北京超星数图信息技术有限公司

","

移动互联网,教育 / 不需要融资 / 2000人以上

",环境优美，大牛一对一带教、团队氛围Nice,"多种多样的下午茶，丰富多彩的团建活动，和谐奋进的团队氛围，开放包容的团队基因。 
舒适的办公环境，一栋七层办公楼，拥有健身房，图书馆（湖北省图共建对外开放），休闲室，顶楼有休闲露台。 
7号地铁旁，毗邻浩渺汤逊湖，工作之余，依窗观湖，惬意舒适。 
岗位职责： 
1.参与技术方案设计工作； 
2.负责技术方案的开发、实现、维护工作 
3.编写出规范的、高质量的代码实现 
任职条件： 
1.**本科以上学历，计算机、软件工程、计算机应用等相关专业，有高并发经验优先。 
2.熟练掌握JAVA开发环境及JAVA基本知识，有较好的分析和设计能力。 
3.熟练使用SpringMVC、Spring Boot、Mybatis、Mybatis-plus、Hibernate等框架并理解其设计思想和实现方式，有JS、HTML/CSS、VUE、JQuery等Web开发经验尤佳。 
4.会用Mysql等数据库，并具有编写较复杂sql的能力，有优化sql能力语句优先。 
5.熟悉缓存（如Redis）、消息队列（如Kafaka）,熟练掌握JVM调优者优先。 
6态度端正、踏实肯干，富有责任心具有较强的学习能力和编码能力。 
7.思路清晰，表达良好，有良好的沟通能力和人际关系，具有团队合作精神。"
java开发工程师,"武汉 - 江汉区 - 民权- 沿江大道广源大厦802室
",2024/4/13,不限 ,本科,10k-20k,"

上海图源素

","

软件服务｜咨询,IT技术服务｜咨询,人工智能服务 / 未融资 / 50-150人

",行业资深团队初创公司，未来无限可能,"一、岗位职责： 
1、参与公司企业级产品后端的研发，确保系统的安全、高可用性和可靠性； 
2、负责高质量的设计和编码，承担重点、难点的技术攻坚； 
3、参与产品讨论，完善产品细节，提出优化的解决方案； 
4、负责编写和维护开发设计相关文档； 
5、协助完成项目的测试、运维等相关工作。 
二、岗位要求： 
1、计算机相关专业，本科及以上学历，2年以上JAVA开发经验； 
2、熟悉相关软件开发工具（如IDEA、Eclipse、VisualStudio等）； 
3、熟悉Java体系，Maven、Git等常用工具的使用，熟悉JVM； 
4、熟悉分布式服务框架（如springcloud、dubbo等）、分布式缓存、消息中间件、RPC框架、负载均衡、安全防御等技术； 
5、掌握常用中间件使用，包括Redis、MongoDB、Nginx、Elasticsearch等； 
6、熟悉Linux常用命令，有线上分析解决问题能力； 
7、了解容器化技术，持续集成，持续部署，包括k8s、jenkins等开源软件； 
8、责任心强，具备良好的问题分析能力、对外沟通能力和团队协作能力，能独立承担任务和有系统进度把控能力。"
